
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19012008013140302657,201901141728344420103096709946,2019-01-20 08:00:00,818120198068,20/1/2019 08:01:32,0,0.0,0.0,3.8221,102.3047,0.4375,3.9384,263
19012100004840319381,201901141728344420103096709946,2019-01-20 09:00:00,818120198068,21/1/2019 00:00:49,0,0.0,0.0,3.8221,102.5938,0.5625,3.9384,263
19012100004840319382,201901141728344420103096709946,2019-01-20 10:00:00,818120198068,21/1/2019 00:00:49,0,0.0,0.0,3.8221,102.9141,1.5,3.9384,263
19012100004840319383,201901141728344420103096709946,2019-01-20 11:00:00,818120198068,21/1/2019 00:00:49,0,0.0,0.0,3.8221,103.1875,2.875,3.9384,263
19012100004840319384,201901141728344420103096709946,2019-01-20 12:00:00,818120198068,21/1/2019 00:00:49,0,0.0,0.0,3.8221,103.2656,3.875,3.9384,263
19012100005640319409,201901141728344420103096709946,2019-01-20 13:00:00,818120198068,21/1/2019 00:00:57,0,0.0,0.0,3.8221,103.3984,5.125,3.9384,263
19012100005640319410,201901141728344420103096709946,2019-01-20 14:00:00,818120198068,21/1/2019 00:00:57,0,0.0,0.0,3.8221,103.4609,6.625,3.9384,263
19012100005640319411,201901141728344420103096709946,2019-01-20 15:00:00,818120198068,21/1/2019 00:00:57,0,0.0,0.0,3.8221,103.2188,7.0625,3.9384,263
19012100005640319412,201901141728344420103096709946,2019-01-20 16:00:00,818120198068,21/1/2019 00:00:57,0,0.0,0.0,3.8221,103.0625,7.0625,3.9384,263
19012100010540319417,201901141728344420103096709946,2019-01-20 17:00:00,818120198068,21/1/2019 00:01:05,0,0.0,0.0,3.8221,102.7891,6.5625,3.9384,263
19012100010540319418,201901141728344420103096709946,2019-01-20 18:00:00,818120198068,21/1/2019 00:01:05,0,0.0,0.0,3.8221,102.6094,5.6875,3.9384,263
19012100010540319419,201901141728344420103096709946,2019-01-20 19:00:00,818120198068,21/1/2019 00:01:05,0,0.0,0.0,3.8221,102.5781,5.125,3.9384,263
19012100010540319420,201901141728344420103096709946,2019-01-20 20:00:00,818120198068,21/1/2019 00:01:05,0,0.0,0.0,3.8221,102.625,4.75,3.9384,263
19012100011340319421,201901141728344420103096709946,2019-01-20 21:00:00,818120198068,21/1/2019 00:01:13,0,0.0,0.0,3.8221,102.6406,4.4375,3.9384,263
